arch,mode,spawn_seed,repeats,catches_mean,catches_std,catch_rate_per_minute_mean,catch_rate_per_minute_std,capture_success_mean,capture_success_std,time_to_first_catch_s_mean,time_to_first_catch_s_std,time_to_competence_s_mean,time_to_competence_s_std,learning_auc_mean,learning_auc_std,flies_per_energy_spent_mean,flies_per_energy_spent_std,net_energy_balance_per_catch_mean,net_energy_balance_per_catch_std,movement_efficiency_px_per_catch_mean,movement_efficiency_px_per_catch_std,visible_but_ignored_ratio_mean,visible_but_ignored_ratio_std,avg_acceleration_px_s2_mean,avg_acceleration_px_s2_std,avg_jerk_px_s3_mean,avg_jerk_px_s3_std,tongue_usage_ratio_mean,tongue_usage_ratio_std,reaction_latency_mean_s_mean,reaction_latency_mean_s_std,ttc_mean_s_mean,ttc_mean_s_std,compute_per_catch_s_mean,compute_per_catch_s_std,catch_rate_low_energy_mean,catch_rate_low_energy_std,catch_rate_mid_energy_mean,catch_rate_mid_energy_std,catch_rate_high_energy_mean,catch_rate_high_energy_std,strike_rate_low_energy_mean,strike_rate_low_energy_std,strike_rate_mid_energy_mean,strike_rate_mid_energy_std,strike_rate_high_energy_mean,strike_rate_high_energy_std,wall_clock_s_mean,wall_clock_s_std,adult_time_s_mean,adult_time_s_std,avg_spike_rate_mean,avg_spike_rate_std,avg_spike_count_mean,avg_spike_count_std,spikes_per_catch_mean,spikes_per_catch_std,avg_food_prediction_error_mean,avg_food_prediction_error_std,avg_hunger_bias_mean,avg_hunger_bias_std,avg_reward_seek_bias_mean,avg_reward_seek_bias_std,avg_predation_bias_mean,avg_predation_bias_std,avg_prey_permission_mean,avg_prey_permission_std,avg_fast_target_lock_mean,avg_fast_target_lock_std,avg_fast_loop_gate_mean,avg_fast_loop_gate_std,avg_fast_strike_drive_mean,avg_fast_strike_drive_std,avg_maturity_readiness_mean,avg_maturity_readiness_std,avg_maturity_stability_mean,avg_maturity_stability_std,study_key,study_label,study_family,study_role,arch_label_ru,arch_short_label,arch_folder_name,arch_family,arch_branch,chronology_group,chronology_order,homeostatic_catch_delta,homeostatic_strike_delta,avg_task_set_bias_mean,avg_task_set_bias_std
ANN,developmental,0,5,118.4,24.344198487524704,7.103999999999999,1.4606519092514822,0.9987096774193548,0.002580645161290329,0.15,0.006324555320336755,30.088,28.589149270308834,11.819562707586808,2.253026689229954,0.19635117999894466,0.0034522944165905683,-0.09450964599889974,0.09066954430283372,7.036161579721773,1.7513794826363573,7.231423209491383e-05,3.888501270654704e-05,20.206797992701173,1.330005556365292,3107.4471511880774,196.83484692190666,1.0,0.0,0.15116132568591323,0.010738332812999631,0.8940932234955017,0.040021614848335295,0.14823921915823668,0.03414498213185,5.818833943833876,6.974203384881035,1.6046432043294228,0.5358780609961307,9.923322929996186,2.7513929228175584,5.818833943833876,6.974203384881035,1.5730218177316038,0.5591547760864402,9.961406077173953,2.797202874056357,16.750880200005486,0.5311990808985977,0.01,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,developmental,1,5,115.4,26.11972434770321,6.9239999999999995,1.5671834608621928,1.0,0.0,0.132,0.0040000000000000036,18.344,20.236421225107964,13.450976466663837,4.135418102657511,0.19546043462660267,0.002791012588511961,-0.11716920697430086,0.07313631891311786,7.20096720862716,1.5519301036599091,5.300341862588211e-05,4.4669458203313056e-05,20.23268439015712,1.1332593711348116,3124.6672701512543,171.73555157485114,1.0,0.0,0.1682838390301996,0.015066699125112234,0.9304761267001386,0.05077869876496602,0.1467902642402726,0.02866678404156016,5.003036541757055,6.669164570308327,1.5052631746910028,0.54012792226261,9.598142309392383,2.4442295590622716,5.003036541757055,6.669164570308327,1.5052631746910028,0.54012792226261,9.598142309392383,2.4442295590622716,16.20676112000074,0.2562733322218649,0.01,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,developmental,2,5,153.8,31.044484212175277,9.228,1.8626690527305163,1.0,0.0,0.192,0.06368673331236263,6.9239999999999995,0.9871089098979908,15.438771017964791,4.035929276755618,0.19719349617396598,0.0010802972728641523,-0.07131338393245551,0.027785502449584096,5.359965595661219,1.2215762940227015,5.2226859533558516e-05,4.398523164452361e-05,20.06905526041833,0.4802269720227908,3077.1187834340735,82.38138576714208,1.0,0.0,0.1523521494430343,0.00959708763021185,0.8579084205587236,0.01451190256179252,0.11045685061965627,0.02487998231950864,5.763053959920683,4.0195394271803675,1.2861267266977952,0.315989827470972,13.496992407130818,2.6484969661855926,5.763053959920683,4.0195394271803675,1.2861267266977952,0.315989827470972,13.496992407130818,2.6484969661855926,16.222986460002723,0.26765279130483954,0.01,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,developmental,3,5,100.8,5.946427498927402,6.048,0.35678564993564416,0.9981481481481481,0.0037037037037037203,0.17200000000000001,0.003999999999999992,54.117999999999995,23.430625599842614,9.144191566135799,1.1022491756027801,0.19692555917579518,0.0029841997710899626,-0.07923898688887254,0.07773878680801702,7.8380416415025564,0.6278202644000422,0.00010944527934404107,0.00014167388421054702,20.354058745806405,0.8660574869628062,3123.193408593931,130.72116356647516,1.0,0.0,0.14995708307707786,0.00925837785331411,0.9184390176386439,0.0360173247866146,0.16061201559295463,0.009692132479328984,18.246365546023448,28.830503060201913,1.483793715176839,0.39794428876860544,8.729338352339077,0.6988114921311696,18.246365546023448,28.830503060201913,1.483793715176839,0.39794428876860544,8.74821488409099,0.7112223826819651,16.133162360001005,0.2151087288130989,0.01,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,developmental,4,5,125.8,39.655516640185134,7.547999999999999,2.3793309984111075,1.0,0.0,0.15,0.01414213562373095,5.9719999999999995,1.063417133583995,11.787659663661646,0.7166135622481267,0.19647623760650001,0.004504793748702805,-0.09244179042444282,0.12072002977293457,6.880920319813756,2.230705987210496,0.00015984288831955137,9.402153720410284e-05,20.841294384613523,1.030058601243872,3205.6662529934865,143.17770663061467,1.0,0.0,0.14708994003997336,0.00791691446809533,0.8847487298546204,0.03841632363102563,0.14933275298881538,0.05214631818641952,0.0,0.0,1.7777436961679407,0.4560088822198947,9.540811240648818,2.1720846269991507,0.0,0.0,1.7777436961679407,0.4560088822198947,9.540811240648818,2.1720846269991507,16.85247678000305,0.35286770105920245,0.01,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,developmental,5,5,96.2,17.209299811439163,5.772,1.0325579886863498,1.0,0.0,0.89,0.3030511507980129,62.782,25.788307738197943,8.243459812747018,1.7183504111705565,0.19844812686213706,0.0009210706917838087,-0.03920900610536827,0.023438270041496834,8.4026322808961,2.0822336937561636,0.00011021249164282174,0.0001069140684025539,20.644647005700637,1.5654521801466525,3169.6916661274745,200.5433644717227,1.0,0.0,0.15841156940314743,0.0042235789889057225,1.0177986850774356,0.053934953570461956,0.1767201412079004,0.042481448997583875,1.8821966133452204,0.39225372782221646,1.672890930414754,0.2416863473591375,7.975368237134444,1.2196382332897695,1.8821966133452204,0.39225372782221646,1.672890930414754,0.2416863473591375,7.975368237134444,1.2196382332897695,16.28533100000059,0.8315735527900809,0.01,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,developmental,6,5,126.8,35.17612826904064,7.608,2.110567696142438,1.0,0.0,0.662,0.14274452704044382,33.836,26.46349908836698,10.610882648758341,2.6260571715779593,0.19806673491053986,0.0021652912020336985,-0.04941640804556743,0.05607650882029637,6.729873967794556,2.095260493879955,0.00019630284682898856,0.00014806552060287693,20.744676337407913,1.14077435646812,3189.067164077472,168.09944952451477,1.0,0.0,0.1598173750051414,0.005249829099876765,0.9326626668174363,0.034327066311338146,0.13019879172158827,0.034575745707228586,1.8888713993390158,0.0,1.779062147891656,0.2725901107624332,10.041157180691771,2.502046628264003,1.8888713993390158,0.0,1.779062147891656,0.2725901107624332,10.01983900694864,2.5224906326882417,15.346541619999334,0.4801971220859318,0.01,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,developmental,7,5,169.6,35.30778950883219,10.175999999999998,2.1184673705299306,0.9991031390134528,0.0017937219730941756,0.246,0.0349857113690718,6.388,3.3685925844482885,15.70007470183433,4.003543764377806,0.19768736869464648,0.001604773182344527,-0.05882571972623999,0.04109417118454201,4.665147231367088,1.0262685669351896,0.00012597151019993336,0.00010567223803931431,21.064411651951815,0.8077928736969469,3224.6720655477443,122.56777221539085,1.0,0.0,0.14595534052777145,0.010357750770588982,0.856887926907644,0.05071147549444404,0.1008475242288508,0.02041365809543817,111.82361556426387,156.6334543670669,4.498653298355075,6.2370898978665545,13.156298053248985,3.0005662014800447,111.82361556426387,156.6334543670669,4.498653298355075,6.2370898978665545,13.135970581030666,3.017197765761684,16.399447999999392,0.42327825360125965,0.01,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,developmental,8,5,124.2,14.496896219536097,7.452,0.8698137731721659,1.0,0.0,0.156,0.04715930449020638,5.052,0.8608460954200814,16.228023808819092,3.0310165448917705,0.1947199484021083,0.0034694510971928377,-0.13722321581815405,0.09219869662347589,6.358108685429919,0.7408804546037732,6.161680320081649e-05,8.915228975569339e-05,20.464854637035653,0.8870376613164221,3135.090417129182,128.48472927831253,1.0,0.0,0.1386355382471784,0.006888912524966723,0.8393816706509872,0.0506115436370578,0.1350289599182399,0.019370464474134968,0.5888222599389578,0.6038865269857105,1.212604822614193,0.6036977855933817,12.510106108181002,3.9692484718641095,0.5888222599389578,0.6038865269857105,1.212604822614193,0.6036977855933817,12.474600105647331,3.997010726567822,16.49881896000006,0.5986755946567826,0.01,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,developmental,9,5,127.0,27.92848008753788,7.62,1.675708805252273,1.0,0.0,0.188,0.007483314773547889,9.882000000000001,4.994634721378532,12.610691163151643,2.500853018928077,0.19708246427999163,0.002196965134480043,-0.07465322476818893,0.05697475544000026,6.566256187346812,1.5748372869974956,3.1170233178346255e-05,3.825769511099271e-05,20.451934117920313,0.16623771378907792,3128.3839199023964,29.82532324312797,1.0,0.0,0.14771879582449726,0.008548122230634956,0.8951185242966935,0.044614236356058545,0.13987066694759126,0.031057856746876833,7.75743450057568,5.665384291370781,1.546871111721337,0.4532926259963374,11.098214216049858,2.0725606792707096,7.75743450057568,5.665384291370781,1.5132858892192211,0.49619760597189194,11.117016215329128,2.102489671612531,16.90139166000008,0.1793980946379338,0.01,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN_FROZEN,adult,0,5,100.6,67.97528962792288,6.036,4.0785173776753725,1.0,0.0,0.13,0.0,5.794,0.7683905257094207,12.51909503794179,6.999966697534518,0.18156559002745656,0.02495245356609146,-0.6376180738545874,0.9480678143225767,5.5274640198280025,5.34090772927489,0.0,0.0,12.377096627836897,0.10943096552508245,1904.8417247179834,20.5018023401173,1.0,0.0,0.16554944567122726,0.03601767043682152,0.8914198156682028,0.15611056835036366,0.41100708124622143,0.4262573333346622,0.975911432251063,0.6222589756322525,0.5623621827381555,0.28761400565334533,10.933166879478929,3.8610245236325884,0.975911432251063,0.6222589756322525,0.5623621827381555,0.28761400565334533,10.933166879478929,3.8610245236325884,14.44325216000143,0.3108744563682527,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN frozen (frog_lib_ann_frozen),ANN frozen,frog_lib_ann_frozen,ANN,baseline_frozen,baseline,11,,,,
ANN_FROZEN,adult,1,5,62.6,27.60144923731361,3.7559999999999993,1.6560869542388166,1.0,0.0,0.13,0.0,7.078,3.5371932375825894,9.502408593948948,4.204455686061468,0.18681779280685587,0.008584959031548914,-0.36447620639056566,0.25405137946275347,3.875631288374509,2.3250269263761596,0.0,0.0,12.499235415485021,0.04638270220754026,1927.9922328517018,7.624044233431459,1.0,0.0,0.14326036585365856,0.008191307375782903,0.8841510668403872,0.30426572976402044,0.2967881361887058,0.17691876236441922,2.7055844699024187,3.7895879627050366,0.8394064566228188,0.4334439585256809,8.52601384493554,1.923178528065779,2.7055844699024187,3.7895879627050366,0.8394064566228188,0.4334439585256809,8.52601384493554,1.923178528065779,14.160709859995404,0.18727521088439045,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN frozen (frog_lib_ann_frozen),ANN frozen,frog_lib_ann_frozen,ANN,baseline_frozen,baseline,11,,,,
