arch,mode,training_mode,spawn_seed,repeat,steps_requested,steps_executed,dt,sim_time_s,wall_clock_s,ms_per_step,catches,strike_attempts,successful_strike_episodes,captures_per_strike_attempt,capture_success,false_strike_rate,catch_rate_per_1k_steps,catch_rate_per_minute,time_to_first_catch_s,time_to_competence_s,learning_auc,ttc_mean_s,ttc_median_s,reaction_latency_mean_s,reaction_latency_median_s,energy_initial,energy_final,energy_spent_est,catch_rate_low_energy,catch_rate_mid_energy,catch_rate_high_energy,strike_rate_low_energy,strike_rate_mid_energy,strike_rate_high_energy,flies_per_energy_spent,net_energy_balance_per_catch,path_length_px,movement_efficiency_px_per_catch,avg_speed_px_s,avg_alignment,avg_controller_signal,avg_neural_activity,avg_acceleration_px_s2,avg_jerk_px_s3,tongue_usage_ratio,visible_time_s,visible_but_ignored_ratio,visible_but_ignored_ratio_low_energy,visible_but_ignored_ratio_high_energy,energy_deficit_strike_correlation,strike_opportunity_count,strike_opportunity_conversion,shot_distance_mean_px,shot_distance_std_px,shot_distance_p10_px,shot_distance_p50_px,shot_distance_p90_px,pre_shot_positioning_error_mean_px,pre_shot_positioning_error_p90_px,survived,compute_per_catch_s,avg_visible_target_count,seeded_spawn_stream,model_seed,runtime_seed,adult_reached,adult_step,adult_time_s,catches_before_maturity,avg_juvenile_progress,avg_maturity_readiness,avg_maturity_stability,avg_food_prediction_error,avg_hunger_bias,avg_reward_seek_bias,avg_predation_bias,avg_prey_permission,avg_fast_target_lock,avg_fast_loop_gate,avg_fast_strike_drive,avg_effective_motor_gate,avg_bg_gating_signal,avg_spike_rate,avg_spike_count,burst_ratio,silent_ratio,spikes_per_catch,avg_eligibility_norm,avg_learning_reward,avg_actor_advantage,avg_value_estimate,study_key,study_label,study_family,study_role,arch_label_ru,arch_short_label,arch_folder_name,arch_family,arch_branch,chronology_group,chronology_order,homeostatic_catch_delta,homeostatic_strike_delta,avg_task_set_bias
ANN,adult,False,2,0,100000,100000,0.01,1000.0,18.213682700006757,0.18213682700006756,144,143,143,1.006993006993007,1.0,0.0,1.44,8.639999999999999,0.22,66.44,9.861178046154723,0.7399305555555555,0.715,0.1575925925925926,0.13,30.0,23.560864983811584,726.4391350161884,,2.4136543876790535,9.95169433044714,,2.4136543876790535,9.879054225845335,0.19822720591284088,-0.044716215390197336,869.2866374490659,6.036712760062958,0.8692866374490659,0.09890395549833453,0.8792198990801628,0.8792198990801628,9.404683741133146,1438.9906023759434,1.0,108.69,0.0,,0.0,-0.03271703253340206,163,0.8834355828220859,94.44300998184357,15.817895628484319,78.21951407846296,101.205312714332,102.81784401774223,0.0,0.0,1.0,0.1264839076389358,0.20613,True,2244172709,714979975,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.0026755160161367796,0.001421147584006247,-0.27619125605917544,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,
ANN,adult,False,2,1,100000,100000,0.01,1000.0,17.989516799992998,0.17989516799993,182,181,181,1.0055248618784531,1.0,0.0,1.82,10.92,0.13,5.69,17.890131285956492,0.7062087912087912,0.625,0.14529850746268655,0.12,30.0,13.78146302350884,926.2185369764911,,1.2118763886088726,15.022619284729032,,1.2118763886088726,14.937263493338525,0.19649790274562323,-0.0891128405301712,849.9212852924026,4.669897171936277,0.8499212852924025,0.12085004575285788,0.8605340377786048,0.8605340377786048,9.727575613501875,1467.3713299348615,1.0,130.55,0.0,,0.0,-0.03672852582403938,203,0.896551724137931,93.87720230029099,16.89426826527507,81.61883884472104,100.72971624008241,102.87436659328554,0.0,0.0,1.0,0.09884349890106042,0.26026,True,2244172709,1008728703,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.00032764410024320147,0.002023109815415391,-0.15993374398214838,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,
ANN,adult,False,2,2,100000,100000,0.01,1000.0,18.79310749999422,0.18793107499994222,108,107,107,1.0093457943925233,1.0,0.0,1.08,6.4799999999999995,0.13,5.59,11.612905387873917,0.7506481481481482,0.645,0.16556962025316455,0.14,30.0,22.061980964458556,547.9380190355414,3.303964757709244,1.3151837969363998,11.072427372873861,3.303964757709244,1.3151837969363998,10.958278637071038,0.1971025850516766,-0.07350017625501337,903.9040604585937,8.369482041283275,0.9039040604585937,0.07642038973847909,0.9125476479074351,0.9125476479074351,8.816428236444311,1357.7267656038603,1.0,82.60000000000001,0.0,0.0,0.0,-0.030440788537573326,125,0.864,94.0103393327719,14.705689629265937,75.55397543063032,100.35062775418766,102.70731049738922,0.0,0.0,1.0,0.17401025462957612,0.15409,True,2244172709,1333957382,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.004984069670429483,0.0009000423038432953,-0.3948500770731211,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,-7.768462615165,-7.654313879362,
ANN,adult,False,2,3,100000,100000,0.01,1000.0,18.38914769999974,0.1838914769999974,124,123,123,1.008130081300813,1.0,0.0,1.24,7.4399999999999995,0.13,42.54,11.632417194894627,0.794516129032258,0.8,0.15510416666666668,0.13,30.0,29.71378051233436,620.2862194876657,,1.8278054910329824,9.438695941096247,,1.8278054910329824,9.35732787263852,0.19990771373644184,-0.0023082216747229056,875.8527638890782,7.063328741040953,0.8758527638890782,0.09099354497435601,0.8851731766229888,0.8851731766229888,9.682910709889057,1481.359229764505,1.0,100.27,0.0,,0.0,-0.026241733917754397,157,0.7898089171974523,95.22424680313786,15.007829156101637,69.13926036320359,102.16209043045862,102.88529896371335,0.0,0.0,1.0,0.14829957822580436,0.18113,True,2244172709,350350643,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.003752477220525352,0.001319027714478412,-0.34100683823599126,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,
ANN,adult,False,2,4,100000,100000,0.01,1000.0,18.158687300005113,0.18158687300005114,154,153,153,1.0065359477124183,1.0,0.0,1.54,9.24,0.13,4.82,15.486941397427218,0.7666233766233767,0.725,0.16601694915254236,0.135,30.0,29.74949844104507,770.250501558955,2.706359945872918,0.9780349647503015,12.817904374373146,2.706359945872918,0.9780349647503015,12.730707745976051,0.19993495582061993,-0.001626633499707339,910.8191530789097,5.914410084927985,0.9108191530789097,0.11205888520676283,0.9186464744643742,0.9186464744643742,8.944039807188268,1368.6255026420306,1.0,120.44,0.0,0.0,0.0,-0.02702209965853143,176,0.875,95.86917544538944,12.778629942988799,80.54714580749983,101.56062579257033,102.81609225608128,0.0,0.0,1.0,0.1179135538961371,0.2303,True,2244172709,2624349157,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.0017953920629405744,0.0018158609618245845,-0.24179229645577413,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,-10.111544428500,-10.024347800103,
ANN,adult,False,3,0,100000,100000,0.01,1000.0,16.77056220000668,0.1677056220000668,88,88,88,1.0,1.0,0.0,0.88,5.279999999999999,0.14,6.15,7.481839814452889,0.8047727272727273,0.8200000000000001,0.1547945205479452,0.13,30.0,25.294909031223984,444.705090968776,,1.5634500130295157,7.240952628287469,,1.5634500130295157,7.240952628287469,0.19788395003145742,-0.05346694282700018,924.5048759390589,10.505737226580216,0.924504875939059,0.06537943033930672,0.9320378815048469,0.9320378815048469,8.847832773365212,1363.5310746520336,1.0,71.94,0.0005560189046427579,,0.0,-0.023372163532533453,105,0.8380952380952381,96.03012787441175,13.73062706195207,81.47274472347023,102.1698370539072,102.82218526007945,0.0,0.0,1.0,0.19057457045462137,0.12185,True,2244172709,1230092047,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.006240152816677145,0.000609533021443763,-0.45914755756884734,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,
ANN,adult,False,3,1,100000,100000,0.01,1000.0,14.76451839999936,0.1476451839999936,127,126,126,1.007936507936508,1.0,0.0,1.27,7.619999999999999,0.14,6.48,15.771005542629451,0.7044094488188977,0.66,0.14903225806451612,0.12,30.0,16.761970588806886,648.2380294111931,22.0183486238535,0.8989918448602316,13.42536407767842,22.0183486238535,0.8989918448602316,13.311589805833687,0.1959156887406876,-0.1042364520566387,845.4796042863398,6.6573197187900774,0.8454796042863398,0.08498528589129685,0.8560292565790679,0.8560292565790679,10.105427904290668,1551.753885794999,1.0,90.78,0.0,0.0,0.0,-0.035330692064780456,129,0.9844961240310077,93.40765754227799,14.762248789995994,75.27946653800859,99.84844829897833,102.77171486475933,0.0,0.0,1.0,0.11625605039369576,0.18283,True,2244172709,3981359261,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.004006489333020045,0.0014535248185877834,-0.3668579204259189,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,8.592984546175,8.706758818020,
ANN,adult,False,3,2,100000,100000,0.01,1000.0,14.808177500002785,0.14808177500002784,131,131,131,1.0,1.0,0.0,1.31,7.859999999999999,0.14,6.48,13.398720034974726,0.6849618320610688,0.54,0.13590909090909092,0.125,30.0,28.59031582150049,656.4096841784996,4.319654427645867,1.5932023366976518,12.485791728608346,4.319654427645867,1.5932023366976518,12.485791728608346,0.199570486477431,-0.01076094792747718,865.2114686375819,6.604667699523526,0.8652114686375819,0.08661175243359814,0.8746113920262689,0.8746113920262689,9.800111133017497,1496.6593971492111,1.0,92.12,0.0,0.0,0.0,-0.03392481011170985,157,0.8343949044585988,91.89322017298976,16.681700338984026,70.49487032084423,99.01127100514537,102.6598691756137,0.0,0.0,1.0,0.11303952290078462,0.18421,True,2244172709,2604434240,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.0037607273525233644,0.0014869021607926362,-0.3499013184352414,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,-8.166137300962,-8.166137300962,
ANN,adult,False,3,3,100000,100000,0.01,1000.0,14.786296099991887,0.14786296099991886,95,95,95,1.0,1.0,0.0,0.95,5.699999999999999,0.14,63.230000000000004,7.612583009040644,0.8201052631578947,0.85,0.16662337662337662,0.14,30.0,26.70618305184938,478.2938169481506,,1.7350568231118073,7.7959002736261755,,1.7350568231118073,7.7959002736261755,0.19862268052337892,-0.034671757348953905,926.4332463640902,9.751928909095687,0.9264332463640902,0.07154496540755816,0.9340153103248752,0.9340153103248752,8.391413976061228,1293.1167260431955,1.0,79.47,0.0,,0.0,-0.026845144347773412,119,0.7983193277310925,96.75015128859536,12.45894025711364,87.08158681715784,101.60903650261598,102.78063735008317,0.0,0.0,1.0,0.15564522210517776,0.1332,True,2244172709,4038674165,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.005584393692505692,0.0005641864432319709,-0.4124058002923531,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,
ANN,adult,False,3,4,100000,100000,0.01,1000.0,15.176717800000915,0.15176717800000916,123,122,122,1.0081967213114753,1.0,0.0,1.23,7.38,0.14,66.62,7.612595587225582,0.8311382113821139,0.88,0.15221153846153845,0.12,30.0,29.980021838786108,615.0199781612139,,1.731476805425963,9.54647333905876,,1.731476805425963,9.463460527414771,0.1999935032480494,-0.00016242407490969158,868.735167656908,7.062887541926081,0.868735167656908,0.09463796848099315,0.8783167208767588,0.8783167208767588,9.47187738870644,1456.719179982594,1.0,104.04,0.0,,0.0,-0.02973222708714273,151,0.8145695364238411,98.34248499852924,12.397802689954018,92.64628630613102,102.4013809407059,102.89329823150518,0.0,0.0,1.0,0.12338794959350338,0.18696,True,2244172709,1842830050,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.0036976794599205783,0.0011548612907600264,-0.323965946162548,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,
