Группа,Режим,Метрика,Сравнение,Mean diff (L-R),Cliff's delta,p raw,p Holm,significant<0.05,Предпочтительная архитектура
bio_family,adult,"Энергоэффективность, мух/энергию",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.0042,-0.1856,0.1105,0.3315,False,BIO_DUAL_FAST_COMPARE
bio_family,adult,"Энергоэффективность, мух/энергию",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),0.0143,0.4136,0.0004,0.0022,True,BIO_DUAL_COMPARE
bio_family,adult,"Энергоэффективность, мух/энергию",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.0057,0.0776,0.5059,0.6620,False,BIO_DUAL_COMPARE
bio_family,adult,"Энергоэффективность, мух/энергию",BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.0086,-0.2908,0.0123,0.0616,False,BIO_DUAL_FAST_COMPARE
bio_family,adult,Игнорирование видимой добычи,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),0.5768,1.0000,7.07e-18,4.24e-17,True,BIO_DUAL_COMPARE
bio_family,adult,Игнорирование видимой добычи,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),-0.0001,-0.0128,0.9149,1.0000,False,BIO_COMPARE
bio_family,adult,Игнорирование видимой добычи,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.5755,1.0000,7.07e-18,4.24e-17,True,BIO_DUAL_FAST_COMPARE
bio_family,adult,Игнорирование видимой добычи,BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),-0.5769,-1.0000,7.07e-18,4.24e-17,True,BIO_DUAL_COMPARE
bio_family,adult,Игнорирование видимой добычи,BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.0013,-0.0004,1.0000,1.0000,False,BIO_DUAL_COMPARE
bio_family,adult,Игнорирование видимой добычи,BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.5756,1.0000,7.07e-18,4.24e-17,True,BIO_DUAL_FAST_COMPARE
bio_family,adult,Learning AUC,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),-4.9388,-0.8584,1.43e-13,7.14e-13,True,BIO_DUAL_COMPARE
bio_family,adult,Learning AUC,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),0.2756,0.1192,0.3060,0.6119,False,BIO_COMPARE
bio_family,adult,Learning AUC,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-4.7353,-0.7416,1.69e-10,5.07e-10,True,BIO_DUAL_FAST_COMPARE
bio_family,adult,Learning AUC,BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),5.2144,0.8912,1.64e-14,9.83e-14,True,BIO_DUAL_COMPARE
bio_family,adult,Learning AUC,BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.2034,0.0264,0.8227,0.8227,False,BIO_DUAL_COMPARE
bio_family,adult,Learning AUC,BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-5.0110,-0.7832,1.52e-11,6.10e-11,True,BIO_DUAL_FAST_COMPARE
bio_family,adult,Успешность поимки,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),-0.0005,0.0244,0.8361,1.0000,False,BIO_DUAL_COMPARE
bio_family,adult,Успешность поимки,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),0.0087,0.1236,0.2882,1.0000,False,BIO_COMPARE
bio_family,adult,Успешность поимки,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.0018,0.0636,0.5860,1.0000,False,BIO_COMPARE
bio_family,adult,Успешность поимки,BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),0.0092,0.1392,0.2316,1.0000,False,BIO_DUAL_COMPARE
bio_family,adult,Успешность поимки,BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.0023,0.0540,0.6441,1.0000,False,BIO_DUAL_COMPARE
bio_family,adult,Успешность поимки,BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.0069,-0.1004,0.3888,1.0000,False,BIO_DUAL_FAST_COMPARE
bio_family,adult,"Вычислительная цена, с/поимку",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),24.8953,0.8656,8.94e-14,1.79e-13,True,BIO_DUAL_COMPARE
bio_family,adult,"Вычислительная цена, с/поимку",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),38.4849,1.0000,7.07e-18,4.24e-17,True,BIO_FAST_COMPARE
bio_family,adult,"Вычислительная цена, с/поимку",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),41.5740,1.0000,7.07e-18,4.24e-17,True,BIO_DUAL_FAST_COMPARE
bio_family,adult,"Вычислительная цена, с/поимку",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),13.5896,0.9728,5.32e-17,1.60e-16,True,BIO_FAST_COMPARE
bio_family,adult,"Вычислительная цена, с/поимку",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),16.6787,0.9888,1.63e-17,6.53e-17,True,BIO_DUAL_FAST_COMPARE
bio_family,adult,"Вычислительная цена, с/поимку",BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),3.0890,0.8256,1.15e-12,1.15e-12,True,BIO_DUAL_FAST_COMPARE
bio_family,developmental,"Темп ловли, мух/мин",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),-2.6004,-0.6680,8.73e-09,3.28e-08,True,BIO_DUAL_COMPARE
bio_family,developmental,"Темп ловли, мух/мин",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),-0.0048,0.0052,0.9670,0.9670,False,BIO_FAST_COMPARE
bio_family,developmental,"Темп ловли, мух/мин",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-2.9832,-0.8316,7.85e-13,3.93e-12,True,BIO_DUAL_FAST_COMPARE
bio_family,developmental,"Темп ловли, мух/мин",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),2.5956,0.6692,8.21e-09,3.28e-08,True,BIO_DUAL_COMPARE
bio_family,developmental,"Темп ловли, мух/мин",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.3828,-0.0960,0.4100,0.8200,False,BIO_DUAL_FAST_COMPARE
bio_family,developmental,"Темп ловли, мух/мин",BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-2.9784,-0.8392,4.85e-13,2.91e-12,True,BIO_DUAL_FAST_COMPARE
bio_family,developmental,"Время до первой поимки, с",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),0.1824,-0.1144,0.3246,1.0000,False,BIO_DUAL_COMPARE
bio_family,developmental,"Время до первой поимки, с",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),-1.0480,0.0880,0.4466,1.0000,False,BIO_COMPARE
bio_family,developmental,"Время до первой поимки, с",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.2564,-0.1060,0.3611,1.0000,False,BIO_DUAL_FAST_COMPARE
bio_family,developmental,"Время до первой поимки, с",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),-1.2304,0.2048,0.0772,0.4632,False,BIO_DUAL_COMPARE
bio_family,developmental,"Время до первой поимки, с",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.0740,0.0000,1.0000,1.0000,False,BIO_DUAL_FAST_COMPARE
bio_family,developmental,"Время до первой поимки, с",BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),1.3044,-0.1960,0.0904,0.4632,False,BIO_DUAL_FAST_COMPARE
bio_family,developmental,"Энергоэффективность, мух/энергию",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),-0.0062,-0.2640,0.0231,0.0925,False,BIO_DUAL_COMPARE
bio_family,developmental,"Энергоэффективность, мух/энергию",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),-0.0026,-0.0784,0.5015,1.0000,False,BIO_FAST_COMPARE
bio_family,developmental,"Энергоэффективность, мух/энергию",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.0101,-0.3624,0.0018,0.0109,True,BIO_DUAL_FAST_COMPARE
bio_family,developmental,"Энергоэффективность, мух/энергию",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),0.0036,0.2160,0.0632,0.1895,False,BIO_DUAL_COMPARE
bio_family,developmental,"Энергоэффективность, мух/энергию",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.0039,-0.0640,0.5836,1.0000,False,BIO_DUAL_FAST_COMPARE
bio_family,developmental,"Энергоэффективность, мух/энергию",BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.0075,-0.3056,0.0085,0.0427,True,BIO_DUAL_FAST_COMPARE
bio_family,developmental,Игнорирование видимой добычи,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),0.5534,1.0000,7.06e-18,4.24e-17,True,BIO_DUAL_COMPARE
bio_family,developmental,Игнорирование видимой добычи,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),-0.0048,-0.0184,0.8767,1.0000,False,BIO_COMPARE
bio_family,developmental,Игнорирование видимой добычи,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.5538,1.0000,7.07e-18,4.24e-17,True,BIO_DUAL_FAST_COMPARE
bio_family,developmental,Игнорирование видимой добычи,BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),-0.5582,-1.0000,7.06e-18,4.24e-17,True,BIO_DUAL_COMPARE
bio_family,developmental,Игнорирование видимой добычи,BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.0004,-0.0280,0.8120,1.0000,False,BIO_DUAL_FAST_COMPARE
bio_family,developmental,Игнорирование видимой добычи,BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.5586,1.0000,7.07e-18,4.24e-17,True,BIO_DUAL_FAST_COMPARE
bio_family,developmental,Learning AUC,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),-4.1390,-0.8032,4.58e-12,1.51e-11,True,BIO_DUAL_COMPARE
bio_family,developmental,Learning AUC,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),0.1110,0.0736,0.5282,0.5282,False,BIO_COMPARE
bio_family,developmental,Learning AUC,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-5.3133,-0.9120,3.98e-15,2.39e-14,True,BIO_DUAL_FAST_COMPARE
bio_family,developmental,Learning AUC,BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),4.2500,0.8064,3.77e-12,1.51e-11,True,BIO_DUAL_COMPARE
bio_family,developmental,Learning AUC,BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-1.1743,-0.1848,0.1121,0.2241,False,BIO_DUAL_FAST_COMPARE
bio_family,developmental,Learning AUC,BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-5.4243,-0.9008,8.56e-15,4.28e-14,True,BIO_DUAL_FAST_COMPARE
bio_family,developmental,Успешность поимки,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),-0.0115,-0.1284,0.2700,0.8184,False,BIO_DUAL_COMPARE
bio_family,developmental,Успешность поимки,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),-0.0166,-0.1740,0.1346,0.6730,False,BIO_FAST_COMPARE
bio_family,developmental,Успешность поимки,BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.0193,-0.2392,0.0396,0.2376,False,BIO_DUAL_FAST_COMPARE
bio_family,developmental,Успешность поимки,BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),-0.0051,-0.0440,0.7071,1.0000,False,BIO_FAST_COMPARE
